detector - descriptor,Frame,lidar TTC,Camera TTC,Difference,
ORB-ORB,Frame2,13.354725,nan,nan,
ORB-ORB,Frame3,16.384452,nan,nan,
ORB-ORB,Frame4,14.076445,nan,nan,
ORB-ORB,Frame5,12.729945,nan,nan,
ORB-ORB,Frame6,13.751074,nan,nan,
ORB-ORB,Frame7,13.731432,10.280005,3.451427,
ORB-ORB,Frame8,13.790126,8.878723,4.911403,
ORB-ORB,Frame9,12.058994,8.735540,3.323454,
ORB-ORB,Frame10,11.864185,10.150110,1.714075,
ORB-ORB,Frame11,11.968197,7.074582,4.893615,
ORB-ORB,Frame12,9.887113,13.035852,3.148739,
ORB-ORB,Frame13,9.425037,7.199498,2.225539,
ORB-ORB,Frame14,9.302148,8.992389,0.309758,
ORB-ORB,Frame15,8.321200,13.442762,5.121562,
ORB-ORB,Frame16,8.898673,13.857238,4.958564,
ORB-ORB,Frame17,11.030114,5.433015,5.597098,
ORB-ORB,Frame18,8.535568,14.049318,5.513750,
 , , , , ,
ORB-FREAK,Frame1,12.289100,nan,nan,
ORB-FREAK,Frame2,13.354725,nan,nan,
ORB-FREAK,Frame3,16.384452,nan,nan,
ORB-FREAK,Frame4,14.076445,nan,nan,
ORB-FREAK,Frame5,12.729945,nan,nan,
ORB-FREAK,Frame6,13.751074,nan,nan,
ORB-FREAK,Frame7,13.731432,12.127001,1.604431,
ORB-FREAK,Frame8,13.790126,8.878723,4.911403,
ORB-FREAK,Frame9,12.058994,8.976332,3.082662,
ORB-FREAK,Frame10,11.864185,30.599634,18.735449,
ORB-FREAK,Frame11,11.968197,7.106591,4.861606,
ORB-FREAK,Frame12,9.887113,13.742673,3.855560,
ORB-FREAK,Frame13,9.425037,6.244465,3.180572,
ORB-FREAK,Frame14,9.302148,8.887877,0.414271,
ORB-FREAK,Frame15,8.321200,8.418762,0.097562,
ORB-FREAK,Frame16,8.898673,22.200781,13.302108,
ORB-FREAK,Frame17,11.030114,4.562873,6.467241,
ORB-FREAK,Frame18,8.535568,9.307218,0.771650,
 , , , , ,
ORB-SIFT,Frame1,12.289100,nan,nan,
ORB-SIFT,Frame2,13.354725,nan,nan,
ORB-SIFT,Frame3,16.384452,nan,nan,
ORB-SIFT,Frame4,14.076445,nan,nan,
ORB-SIFT,Frame5,12.729945,nan,nan,
ORB-SIFT,Frame6,13.751074,nan,nan,
ORB-SIFT,Frame7,13.731432,8.812325,4.919107,
ORB-SIFT,Frame8,13.790126,8.878723,4.911403,
ORB-SIFT,Frame9,12.058994,8.675109,3.383885,
ORB-SIFT,Frame10,11.864185,31.558086,19.693901,
ORB-SIFT,Frame11,11.968197,7.106591,4.861606,
ORB-SIFT,Frame12,9.887113,13.035852,3.148739,
ORB-SIFT,Frame13,9.425037,7.171012,2.254025,
ORB-SIFT,Frame14,9.302148,8.992389,0.309758,
ORB-SIFT,Frame15,8.321200,8.973947,0.652746,
ORB-SIFT,Frame16,8.898673,7.568012,1.330661,
ORB-SIFT,Frame17,11.030114,6.239917,4.790196,
ORB-SIFT,Frame18,8.535568,14.049318,5.513750,
 , , , , ,
AKAZE-BRISK,Frame1,12.289100,13.486661,1.197561,
AKAZE-BRISK,Frame2,13.354725,17.945125,4.590400,
AKAZE-BRISK,Frame3,16.384452,14.571636,1.812816,
AKAZE-BRISK,Frame4,14.076445,16.011780,1.935335,
AKAZE-BRISK,Frame5,12.729945,16.348766,3.618820,
AKAZE-BRISK,Frame6,13.751074,16.894484,3.143410,
AKAZE-BRISK,Frame7,13.731432,18.591341,4.859909,
AKAZE-BRISK,Frame8,13.790126,15.806338,2.016212,
AKAZE-BRISK,Frame9,12.058994,17.090882,5.031888,
AKAZE-BRISK,Frame10,11.864185,13.655908,1.791722,
AKAZE-BRISK,Frame11,11.968197,12.325633,0.357436,
AKAZE-BRISK,Frame12,9.887113,11.566849,1.679736,
AKAZE-BRISK,Frame13,9.425037,11.185841,1.760804,
AKAZE-BRISK,Frame14,9.302148,10.363091,1.060943,
AKAZE-BRISK,Frame15,8.321200,10.249825,1.928625,
AKAZE-BRISK,Frame16,8.898673,9.560120,0.661447,
AKAZE-BRISK,Frame17,11.030114,9.800490,1.229623,
AKAZE-BRISK,Frame18,8.535568,8.883151,0.347583,
 , , , , ,
AKAZE-BRIEF,Frame1,12.289100,13.732873,1.443773,
AKAZE-BRIEF,Frame2,13.354725,17.657106,4.302381,
AKAZE-BRIEF,Frame3,16.384452,13.518678,2.865775,
AKAZE-BRIEF,Frame4,14.076445,15.984695,1.908250,
AKAZE-BRIEF,Frame5,12.729945,16.418764,3.688819,
AKAZE-BRIEF,Frame6,13.751074,16.267312,2.516238,
AKAZE-BRIEF,Frame7,13.731432,18.894559,5.163127,
AKAZE-BRIEF,Frame8,13.790126,15.479275,1.689149,
AKAZE-BRIEF,Frame9,12.058994,16.979306,4.920312,
AKAZE-BRIEF,Frame10,11.864185,14.740124,2.875939,
AKAZE-BRIEF,Frame11,11.968197,12.604016,0.635819,
AKAZE-BRIEF,Frame12,9.887113,11.637167,1.750054,
AKAZE-BRIEF,Frame13,9.425037,11.110040,1.685003,
AKAZE-BRIEF,Frame14,9.302148,9.979206,0.677058,
AKAZE-BRIEF,Frame15,8.321200,9.857832,1.536631,
AKAZE-BRIEF,Frame16,8.898673,9.176949,0.278276,
AKAZE-BRIEF,Frame17,11.030114,9.192274,1.837840,
AKAZE-BRIEF,Frame18,8.535568,8.522229,0.013339,
 , , , , ,
AKAZE-ORB,Frame1,12.289100,13.486661,1.197561,
AKAZE-ORB,Frame2,13.354725,18.170028,4.815304,
AKAZE-ORB,Frame3,16.384452,13.518678,2.865775,
AKAZE-ORB,Frame4,14.076445,16.110032,2.033587,
AKAZE-ORB,Frame5,12.729945,16.419761,3.689816,
AKAZE-ORB,Frame6,13.751074,17.236979,3.485905,
AKAZE-ORB,Frame7,13.731432,19.921221,6.189789,
AKAZE-ORB,Frame8,13.790126,15.672186,1.882060,
AKAZE-ORB,Frame9,12.058994,16.616194,4.557200,
AKAZE-ORB,Frame10,11.864185,14.872283,3.008098,
AKAZE-ORB,Frame11,11.968197,12.367659,0.399462,
AKAZE-ORB,Frame12,9.887113,11.779459,1.892346,
AKAZE-ORB,Frame13,9.425037,11.120912,1.695875,
AKAZE-ORB,Frame14,9.302148,10.345374,1.043227,
AKAZE-ORB,Frame15,8.321200,10.249825,1.928625,
AKAZE-ORB,Frame16,8.898673,9.839849,0.941176,
AKAZE-ORB,Frame17,11.030114,9.753410,1.276704,
AKAZE-ORB,Frame18,8.535568,8.798442,0.262874,
 , , , , ,
AKAZE-FREAK,Frame1,12.289100,13.732873,1.443773,
AKAZE-FREAK,Frame2,13.354725,17.646018,4.291294,
AKAZE-FREAK,Frame3,16.384452,14.690160,1.694292,
AKAZE-FREAK,Frame4,14.076445,17.012313,2.935868,
AKAZE-FREAK,Frame5,12.729945,16.235013,3.505067,
AKAZE-FREAK,Frame6,13.751074,16.985180,3.234106,
AKAZE-FREAK,Frame7,13.731432,18.420460,4.689028,
AKAZE-FREAK,Frame8,13.790126,15.336710,1.546584,
AKAZE-FREAK,Frame9,12.058994,17.090882,5.031888,
AKAZE-FREAK,Frame10,11.864185,13.957518,2.093333,
AKAZE-FREAK,Frame11,11.968197,12.512985,0.544788,
AKAZE-FREAK,Frame12,9.887113,11.629622,1.742509,
AKAZE-FREAK,Frame13,9.425037,11.252102,1.827065,
AKAZE-FREAK,Frame14,9.302148,10.549107,1.246959,
AKAZE-FREAK,Frame15,8.321200,9.567316,1.246116,
AKAZE-FREAK,Frame16,8.898673,8.813457,0.085216,
AKAZE-FREAK,Frame17,11.030114,9.332942,1.697172,
AKAZE-FREAK,Frame18,8.535568,8.817902,0.282334,
 , , , , ,
AKAZE-SIFT,Frame1,12.289100,13.486661,1.197561,
AKAZE-SIFT,Frame2,13.354725,17.657106,4.302381,
AKAZE-SIFT,Frame3,16.384452,14.097089,2.287363,
AKAZE-SIFT,Frame4,14.076445,17.427108,3.350663,
AKAZE-SIFT,Frame5,12.729945,16.419761,3.689816,
AKAZE-SIFT,Frame6,13.751074,17.236979,3.485905,
